,Time_Index,NG,None,coal,uranium
0,0,0.05306,0,0.095487528,0
1,1,3.286,0,2.3566238,0.705536
2,2,3.286,0,2.3566238,0.705536
3,3,3.286,0,2.3566238,0.705536
4,4,3.286,0,2.3566238,0.705536
5,5,3.286,0,2.3566238,0.705536
6,6,3.286,0,2.3566238,0.705536
7,7,3.286,0,2.3566238,0.705536
8,8,3.286,0,2.3566238,0.705536
9,9,3.286,0,2.3566238,0.705536
10,10,3.286,0,2.3566238,0.705536
11,11,3.286,0,2.3566238,0.705536
12,12,3.286,0,2.3566238,0.705536
13,13,3.286,0,2.3566238,0.705536
14,14,3.286,0,2.3566238,0.705536
15,15,3.286,0,2.3566238,0.705536
16,16,3.286,0,2.3566238,0.705536
17,17,3.286,0,2.3566238,0.705536
18,18,3.286,0,2.3566238,0.705536
19,19,3.286,0,2.3566238,0.705536
20,20,3.286,0,2.3566238,0.705536
21,21,3.286,0,2.3566238,0.705536
22,22,3.286,0,2.3566238,0.705536
23,23,3.286,0,2.3566238,0.705536
24,24,3.286,0,2.3566238,0.705536
25,25,3.44288,0,2.3566238,0.705536
26,26,3.44288,0,2.3566238,0.705536
27,27,3.44288,0,2.3566238,0.705536
28,28,3.44288,0,2.3566238,0.705536
29,29,3.44288,0,2.3566238,0.705536
30,30,3.44288,0,2.3566238,0.705536
31,31,3.44288,0,2.3566238,0.705536
32,32,3.44288,0,2.3566238,0.705536
33,33,3.44288,0,2.3566238,0.705536
34,34,3.44288,0,2.3566238,0.705536
35,35,3.44288,0,2.3566238,0.705536
36,36,3.44288,0,2.3566238,0.705536
37,37,3.44288,0,2.3566238,0.705536
38,38,3.44288,0,2.3566238,0.705536
39,39,3.44288,0,2.3566238,0.705536
40,40,3.44288,0,2.3566238,0.705536
41,41,3.44288,0,2.3566238,0.705536
42,42,3.44288,0,2.3566238,0.705536
43,43,3.44288,0,2.3566238,0.705536
44,44,3.44288,0,2.3566238,0.705536
45,45,3.44288,0,2.3566238,0.705536
46,46,3.44288,0,2.3566238,0.705536
47,47,3.44288,0,2.3566238,0.705536
48,48,3.44288,0,2.3566238,0.705536
49,49,2.99026,0,2.3566238,0.705536
50,50,2.99026,0,2.3566238,0.705536
51,51,2.99026,0,2.3566238,0.705536
52,52,2.99026,0,2.3566238,0.705536
53,53,2.99026,0,2.3566238,0.705536
54,54,2.99026,0,2.3566238,0.705536
55,55,2.99026,0,2.3566238,0.705536
56,56,2.99026,0,2.3566238,0.705536
57,57,2.99026,0,2.3566238,0.705536
58,58,2.99026,0,2.3566238,0.705536
59,59,2.99026,0,2.3566238,0.705536
60,60,2.99026,0,2.3566238,0.705536
61,61,2.99026,0,2.3566238,0.705536
62,62,2.99026,0,2.3566238,0.705536
63,63,2.99026,0,2.3566238,0.705536
64,64,2.99026,0,2.3566238,0.705536
65,65,2.99026,0,2.3566238,0.705536
66,66,2.99026,0,2.3566238,0.705536
67,67,2.99026,0,2.3566238,0.705536
68,68,2.99026,0,2.3566238,0.705536
69,69,2.99026,0,2.3566238,0.705536
70,70,2.99026,0,2.3566238,0.705536
71,71,2.99026,0,2.3566238,0.705536
72,72,2.99026,0,2.3566238,0.705536
73,73,2.88426,0,2.3566238,0.705536
74,74,2.88426,0,2.3566238,0.705536
75,75,2.88426,0,2.3566238,0.705536
76,76,2.88426,0,2.3566238,0.705536
77,77,2.88426,0,2.3566238,0.705536
78,78,2.88426,0,2.3566238,0.705536
79,79,2.88426,0,2.3566238,0.705536
80,80,2.88426,0,2.3566238,0.705536
81,81,2.88426,0,2.3566238,0.705536
82,82,2.88426,0,2.3566238,0.705536
83,83,2.88426,0,2.3566238,0.705536
84,84,2.88426,0,2.3566238,0.705536
85,85,2.88426,0,2.3566238,0.705536
86,86,2.88426,0,2.3566238,0.705536
87,87,2.88426,0,2.3566238,0.705536
88,88,2.88426,0,2.3566238,0.705536
89,89,2.88426,0,2.3566238,0.705536
90,90,2.88426,0,2.3566238,0.705536
91,91,2.88426,0,2.3566238,0.705536
92,92,2.88426,0,2.3566238,0.705536
93,93,2.88426,0,2.3566238,0.705536
94,94,2.88426,0,2.3566238,0.705536
95,95,2.88426,0,2.3566238,0.705536
96,96,2.88426,0,2.3566238,0.705536
97,97,2.88426,0,2.3566238,0.705536
98,98,2.88426,0,2.3566238,0.705536
99,99,2.88426,0,2.3566238,0.705536
100,100,2.88426,0,2.3566238,0.705536
101,101,2.88426,0,2.3566238,0.705536
102,102,2.88426,0,2.3566238,0.705536
103,103,2.88426,0,2.3566238,0.705536
104,104,2.88426,0,2.3566238,0.705536
105,105,2.88426,0,2.3566238,0.705536
106,106,2.88426,0,2.3566238,0.705536
107,107,2.88426,0,2.3566238,0.705536
108,108,2.88426,0,2.3566238,0.705536
109,109,2.88426,0,2.3566238,0.705536
110,110,2.88426,0,2.3566238,0.705536
111,111,2.88426,0,2.3566238,0.705536
112,112,2.88426,0,2.3566238,0.705536
113,113,2.88426,0,2.3566238,0.705536
114,114,2.88426,0,2.3566238,0.705536
115,115,2.88426,0,2.3566238,0.705536
116,116,2.88426,0,2.3566238,0.705536
117,117,2.88426,0,2.3566238,0.705536
118,118,2.88426,0,2.3566238,0.705536
119,119,2.88426,0,2.3566238,0.705536
120,120,2.88426,0,2.3566238,0.705536
121,121,2.88426,0,2.3566238,0.705536
122,122,2.88426,0,2.3566238,0.705536
123,123,2.88426,0,2.3566238,0.705536
124,124,2.88426,0,2.3566238,0.705536
125,125,2.88426,0,2.3566238,0.705536
126,126,2.88426,0,2.3566238,0.705536
127,127,2.88426,0,2.3566238,0.705536
128,128,2.88426,0,2.3566238,0.705536
129,129,2.88426,0,2.3566238,0.705536
130,130,2.88426,0,2.3566238,0.705536
131,131,2.88426,0,2.3566238,0.705536
132,132,2.88426,0,2.3566238,0.705536
133,133,2.88426,0,2.3566238,0.705536
134,134,2.88426,0,2.3566238,0.705536
135,135,2.88426,0,2.3566238,0.705536
136,136,2.88426,0,2.3566238,0.705536
137,137,2.88426,0,2.3566238,0.705536
138,138,2.88426,0,2.3566238,0.705536
139,139,2.88426,0,2.3566238,0.705536
140,140,2.88426,0,2.3566238,0.705536
141,141,2.88426,0,2.3566238,0.705536
142,142,2.88426,0,2.3566238,0.705536
143,143,2.88426,0,2.3566238,0.705536
144,144,2.88426,0,2.3566238,0.705536
145,145,2.96588,0,2.3566238,0.705536
146,146,2.96588,0,2.3566238,0.705536
147,147,2.96588,0,2.3566238,0.705536
148,148,2.96588,0,2.3566238,0.705536
149,149,2.96588,0,2.3566238,0.705536
150,150,2.96588,0,2.3566238,0.705536
151,151,2.96588,0,2.3566238,0.705536
152,152,2.96588,0,2.3566238,0.705536
153,153,2.96588,0,2.3566238,0.705536
154,154,2.96588,0,2.3566238,0.705536
155,155,2.96588,0,2.3566238,0.705536
156,156,2.96588,0,2.3566238,0.705536
157,157,2.96588,0,2.3566238,0.705536
158,158,2.96588,0,2.3566238,0.705536
159,159,2.96588,0,2.3566238,0.705536
160,160,2.96588,0,2.3566238,0.705536
161,161,2.96588,0,2.3566238,0.705536
162,162,2.96588,0,2.3566238,0.705536
163,163,2.96588,0,2.3566238,0.705536
164,164,2.96588,0,2.3566238,0.705536
165,165,2.96588,0,2.3566238,0.705536
166,166,2.96588,0,2.3566238,0.705536
167,167,2.96588,0,2.3566238,0.705536
168,168,2.96588,0,2.3566238,0.705536
169,169,2.90652,0,2.3566238,0.705536
170,170,2.90652,0,2.3566238,0.705536
171,171,2.90652,0,2.3566238,0.705536
172,172,2.90652,0,2.3566238,0.705536
173,173,2.90652,0,2.3566238,0.705536
174,174,2.90652,0,2.3566238,0.705536
175,175,2.90652,0,2.3566238,0.705536
176,176,2.90652,0,2.3566238,0.705536
177,177,2.90652,0,2.3566238,0.705536
178,178,2.90652,0,2.3566238,0.705536
179,179,2.90652,0,2.3566238,0.705536
180,180,2.90652,0,2.3566238,0.705536
181,181,2.90652,0,2.3566238,0.705536
182,182,2.90652,0,2.3566238,0.705536
183,183,2.90652,0,2.3566238,0.705536
184,184,2.90652,0,2.3566238,0.705536
185,185,2.90652,0,2.3566238,0.705536
186,186,2.90652,0,2.3566238,0.705536
187,187,2.90652,0,2.3566238,0.705536
188,188,2.90652,0,2.3566238,0.705536
189,189,2.90652,0,2.3566238,0.705536
190,190,2.90652,0,2.3566238,0.705536
191,191,2.90652,0,2.3566238,0.705536
192,192,2.90652,0,2.3566238,0.705536
193,193,3.06128,0,2.3566238,0.705536
194,194,3.06128,0,2.3566238,0.705536
195,195,3.06128,0,2.3566238,0.705536
196,196,3.06128,0,2.3566238,0.705536
197,197,3.06128,0,2.3566238,0.705536
198,198,3.06128,0,2.3566238,0.705536
199,199,3.06128,0,2.3566238,0.705536
200,200,3.06128,0,2.3566238,0.705536
201,201,3.06128,0,2.3566238,0.705536
