NG,Time_Index,coal,Date,None,uranium
0.05306,0,0.095488,0.0,0.0,0.0
3.711,1,3.246940245,2017-01-01 00:00:00,0.0,0.705536
3.711,2,3.246940245,2017-01-01 01:00:00,0.0,0.705536
3.711,3,3.246940245,2017-01-01 02:00:00,0.0,0.705536
3.711,4,3.246940245,2017-01-01 03:00:00,0.0,0.705536
3.711,5,3.246940245,2017-01-01 04:00:00,0.0,0.705536
3.711,6,3.246940245,2017-01-01 05:00:00,0.0,0.705536
3.711,7,3.246940245,2017-01-01 06:00:00,0.0,0.705536
3.711,8,3.246940245,2017-01-01 07:00:00,0.0,0.705536
3.711,9,3.246940245,2017-01-01 08:00:00,0.0,0.705536
3.711,10,3.246940245,2017-01-01 09:00:00,0.0,0.705536
3.711,11,3.246940245,2017-01-01 10:00:00,0.0,0.705536
3.711,12,3.246940245,2017-01-01 11:00:00,0.0,0.705536
3.711,13,3.246940245,2017-01-01 12:00:00,0.0,0.705536
3.711,14,3.246940245,2017-01-01 13:00:00,0.0,0.705536
3.711,15,3.246940245,2017-01-01 14:00:00,0.0,0.705536
3.711,16,3.246940245,2017-01-01 15:00:00,0.0,0.705536
3.711,17,3.246940245,2017-01-01 16:00:00,0.0,0.705536
3.711,18,3.246940245,2017-01-01 17:00:00,0.0,0.705536
3.711,19,3.246940245,2017-01-01 18:00:00,0.0,0.705536
3.711,20,3.246940245,2017-01-01 19:00:00,0.0,0.705536
3.711,21,3.246940245,2017-01-01 20:00:00,0.0,0.705536
3.711,22,3.246940245,2017-01-01 21:00:00,0.0,0.705536
3.711,23,3.246940245,2017-01-01 22:00:00,0.0,0.705536
3.711,24,3.246940245,2017-01-01 23:00:00,0.0,0.705536
3.711,25,3.246940245,2017-01-02 00:00:00,0.0,0.705536
3.711,26,3.246940245,2017-01-02 01:00:00,0.0,0.705536
3.711,27,3.246940245,2017-01-02 02:00:00,0.0,0.705536
3.711,28,3.246940245,2017-01-02 03:00:00,0.0,0.705536
3.711,29,3.246940245,2017-01-02 04:00:00,0.0,0.705536
3.711,30,3.246940245,2017-01-02 05:00:00,0.0,0.705536
3.711,31,3.246940245,2017-01-02 06:00:00,0.0,0.705536
3.711,32,3.246940245,2017-01-02 07:00:00,0.0,0.705536
3.711,33,3.246940245,2017-01-02 08:00:00,0.0,0.705536
3.711,34,3.246940245,2017-01-02 09:00:00,0.0,0.705536
3.711,35,3.246940245,2017-01-02 10:00:00,0.0,0.705536
3.711,36,3.246940245,2017-01-02 11:00:00,0.0,0.705536
3.711,37,3.246940245,2017-01-02 12:00:00,0.0,0.705536
3.711,38,3.246940245,2017-01-02 13:00:00,0.0,0.705536
3.711,39,3.246940245,2017-01-02 14:00:00,0.0,0.705536
3.711,40,3.246940245,2017-01-02 15:00:00,0.0,0.705536
3.711,41,3.246940245,2017-01-02 16:00:00,0.0,0.705536
3.711,42,3.246940245,2017-01-02 17:00:00,0.0,0.705536
3.711,43,3.246940245,2017-01-02 18:00:00,0.0,0.705536
3.711,44,3.246940245,2017-01-02 19:00:00,0.0,0.705536
3.711,45,3.246940245,2017-01-02 20:00:00,0.0,0.705536
3.711,46,3.246940245,2017-01-02 21:00:00,0.0,0.705536
3.711,47,3.246940245,2017-01-02 22:00:00,0.0,0.705536
3.711,48,3.246940245,2017-01-02 23:00:00,0.0,0.705536
3.738,49,2.969762419,2017-01-03 00:00:00,0.0,0.705536
3.738,50,2.969762419,2017-01-03 01:00:00,0.0,0.705536
3.738,51,2.969762419,2017-01-03 02:00:00,0.0,0.705536
3.738,52,2.969762419,2017-01-03 03:00:00,0.0,0.705536
3.738,53,2.969762419,2017-01-03 04:00:00,0.0,0.705536
3.738,54,2.969762419,2017-01-03 05:00:00,0.0,0.705536
3.738,55,2.969762419,2017-01-03 06:00:00,0.0,0.705536
3.738,56,2.969762419,2017-01-03 07:00:00,0.0,0.705536
3.738,57,2.969762419,2017-01-03 08:00:00,0.0,0.705536
3.738,58,2.969762419,2017-01-03 09:00:00,0.0,0.705536
3.738,59,2.969762419,2017-01-03 10:00:00,0.0,0.705536
3.738,60,2.969762419,2017-01-03 11:00:00,0.0,0.705536
3.738,61,2.969762419,2017-01-03 12:00:00,0.0,0.705536
3.738,62,2.969762419,2017-01-03 13:00:00,0.0,0.705536
