Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,,,,,,,,1,37081.443439
1,,,,,,,,2,37258.989933
2,,,,,,,,3,37300.187809
3,,,,,,,,4,37423.543464
4,,,,,,,,5,37895.212293
5,,,,,,,,6,38825.089419
6,,,,,,,,7,39910.65557
7,,,,,,,,8,40436.556189
8,,,,,,,,9,40950.158227
9,,,,,,,,10,41763.471112
10,,,,,,,,11,42249.937827
11,,,,,,,,12,42296.680097
12,,,,,,,,13,41879.177938
13,,,,,,,,14,41376.308635
14,,,,,,,,15,40991.346125
15,,,,,,,,16,41015.886654
16,,,,,,,,17,41842.179371
17,,,,,,,,18,44058.744708
18,,,,,,,,19,45400.62442
19,,,,,,,,20,45246.041652
20,,,,,,,,21,44844.305598
21,,,,,,,,22,43901.78062
22,,,,,,,,23,42206.595675
23,,,,,,,,24,40494.835846
24,,,,,,,,25,39246.742553
25,,,,,,,,26,38577.964749
26,,,,,,,,27,38434.140987
27,,,,,,,,28,38830.980204
28,,,,,,,,29,40072.090081
29,,,,,,,,30,42485.797068
30,,,,,,,,31,45299.723027
31,,,,,,,,32,47420.624154
32,,,,,,,,33,48547.907047
33,,,,,,,,34,49679.189131
34,,,,,,,,35,50682.591131
35,,,,,,,,36,51256.523268
36,,,,,,,,37,51414.313859
37,,,,,,,,38,51455.220692
38,,,,,,,,39,51263.438055
39,,,,,,,,40,51149.181091
40,,,,,,,,41,51381.511969
41,,,,,,,,42,52717.563939
42,,,,,,,,43,53277.132396
43,,,,,,,,44,52309.216506
44,,,,,,,,45,51043.85213
45,,,,,,,,46,49194.027612
46,,,,,,,,47,46628.16578
47,,,,,,,,48,44287.426865
48,,,,,,,,49,42470.574391
49,,,,,,,,50,41445.494564
50,,,,,,,,51,41061.889854
51,,,,,,,,52,41019.873323
52,,,,,,,,53,41999.261458
53,,,,,,,,54,44024.873891
54,,,,,,,,55,46572.413749
55,,,,,,,,56,48255.848643
56,,,,,,,,57,48684.828092
57,,,,,,,,58,48896.627743
58,,,,,,,,59,49026.026101
59,,,,,,,,60,48540.922251
60,,,,,,,,61,47492.461163
61,,,,,,,,62,46312.87367
62,,,,,,,,63,45216.124045
63,,,,,,,,64,44530.414449
64,,,,,,,,65,44772.64772
65,,,,,,,,66,46512.881224
66,,,,,,,,67,48596.588249
67,,,,,,,,68,48814.779487
68,,,,,,,,69,48647.184356
69,,,,,,,,70,47765.301683
70,,,,,,,,71,46020.997646
71,,,,,,,,72,44191.865344
